Title,Link,Location,Cost,Date,Image
2022 Remembrance Day Ceremonies in and Around Vancouver,https://www.todocanada.ca/remembrance-day-ceremonies-metro-vancouver/,Not Specified,Not Specified,Not Specified,https://www.todocanada.ca/wp-content/uploads/Remembrance-Day-Ceremonies-in-and-around-Vancouver-250x165.png
Annual Chutzpah! Festival,https://www.todocanada.ca/city/vancouver/event/chutzpah-festival/,Various Venues Vancouver,Price: $18-$56,November 3 2022 To November 24 2022,https://www.todocanada.ca/wp-content/uploads/Chutzpah-Festival-1-250x165.jpg
Vancouver’s North Shore Craft Beer Week,https://www.todocanada.ca/city/vancouver/event/vancouvers-north-shore-craft-beer-week/,Various Venues Vancouver’s North Shore,Price: Varies,November 3 2022 To November 14 2022,https://www.todocanada.ca/wp-content/uploads/Van-Craft-Beer-Week-250x165.png
Vancouver Christmas Market,https://www.todocanada.ca/city/vancouver/event/vancouver-christmas-market/,Jack Poole Plaza 1055 Canada Place Vancouver,Price: $5.59 to $17,November 12 2022 To December 24 2022,https://www.todocanada.ca/wp-content/uploads/23031636_1465727830147587_7634427390263037644_n-250x165.jpg
River Basin Days: Orienteering,https://www.todocanada.ca/city/vancouver/event/river-basin-days-orienteering/,Les Jardins Townhomes & Apartments 10808 18 St SE Calgary,Price: Free to $15,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/RBD-Twitter_Template-250x165.jpg
Bear Creek Lights,https://www.todocanada.ca/city/vancouver/event/light-festival-bear-creek-park/,Bear Creek Park 13750 88th Avenue Surrey,Price: Free,November 4 2022 To November 18 2022,https://www.todocanada.ca/wp-content/uploads/light-festival-250x165.jpg
National Geographic’s Beyond King Tut,https://www.todocanada.ca/city/vancouver/event/national-geographics-beyond-king-tut/,Vancouver Convention Centre 999 Canada Pl Vancouver,Price: $29.99 & up,November 4 2022 To January 8 2023,https://www.todocanada.ca/wp-content/uploads/national-geographic-s-beyond-king-tut-vancouver-250x165.jpg
Hawaii From Above,https://www.todocanada.ca/city/vancouver/event/hawaii-from-above/,Canada Place 201-999 Canada Place Vancouver,Price: $25/$27 ,November 3 2022 To November 16 2022,https://www.todocanada.ca/wp-content/uploads/Hawaii-From-Above-250x165.png
T.Rex: The Ultimate Predator,https://www.todocanada.ca/city/vancouver/event/t-rex-the-ultimate-predator/,Science World 1455 Quebec Street Vancouver,Price: Regular Admission,February 26 2022 To January 22 2023,https://www.todocanada.ca/wp-content/uploads/Science-World-1-250x165.jpg
Places to See Salmon Run Around Metro Vancouver,https://www.todocanada.ca/places-to-see-salmon-run-around-metro-vancouver/,Not Specified,Not Specified,Not Specified,https://www.todocanada.ca/wp-content/uploads/Parks-to-See-Salmon-Running--250x165.jpg
25 Things to Do Around Vancouver During Fall ,https://www.todocanada.ca/25-things-to-do-around-vancouver-during-fall/,Not Specified,Not Specified,Not Specified,https://www.todocanada.ca/wp-content/uploads/25-Things-to-Do-Around-Vancouver-During-Fall--250x165.jpg
We Sang Our Songs: 31st Annual Remembrance Day Concerts,https://www.todocanada.ca/city/vancouver/event/we-sang-our-songs-31st-annual-remembrance-day-concerts/,St. Andrew's-Wesley United 1022 Nelson St Vancouver,Price: $20 - $50,November 10 2022 To November 11 2022,https://www.todocanada.ca/wp-content/uploads/1920x1080_CL_WeSang01-2-250x165.jpg
Real Love,https://www.todocanada.ca/city/vancouver/event/real-love/,Celebrities 1022 Davie Street Vancouver ,Price: $27.01 - $33.11,November 10 2022 ,https://www.todocanada.ca/wp-content/uploads/59_Edp-5-250x165.png
SG Lewis – North American Tour 2022,https://www.todocanada.ca/city/vancouver/event/sg-lewis-north-american-tour-2022/,Commodore Ballroom 868 Granville St. Vancouver,Price: $35+fees,November 10 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258051-250x165.jpg
Remembrance Day Mountain View Cemetery,https://www.todocanada.ca/city/vancouver/event/remembrance-day-mountain-view-cemetery/,Mountain View Cemetery 5455 Fraser Street Vancouver,Price: Free,November 11 2022 ,https://www.todocanada.ca/wp-content/uploads/Remembrance-Day-At-Mountain-View-Cemetery-250x165.jpg
Jon Kimura Parker Plays Bernstein,https://www.todocanada.ca/city/vancouver/event/vso-jon/,Orpheum Theatre 601 Smithe St Vancouver,Price: $29.52 & up,November 11 2022 To November 12 2022,https://www.todocanada.ca/wp-content/uploads/Jon-Kimura-Parker-Plays-Bernstein-250x165.webp
The Smashing Pumpkins + Jane’s Addiction,https://www.todocanada.ca/city/vancouver/event/the-smashing-pumpkins-janes-addiction/,Rogers Arena 800 Griffiths Way Vancouver,Price: $49 - $150+fees,November 11 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-249724-250x165.jpg
Foals: Life Is Yours Tour,https://www.todocanada.ca/city/vancouver/event/foals-life-is-yours-tour/, Queen Elizabeth Theatre 600 Block Hamilton St. Vancouver,Price: $30 - $75+fees,November 11 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258056-250x165.jpg
JEAN DAWSON: Chaos Now* Tour,https://www.todocanada.ca/city/vancouver/event/jean-dawson-chaos-now-tour/,Biltmore Cabaret 395 Kingsway Vancouver,Price: $20 to $30,November 11 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258058-250x165.jpg
Blanke,https://www.todocanada.ca/city/vancouver/event/blanke/,Celebrities 1022 Davie Street Vancouver,Price: $27.01,November 11 2022 ,https://www.todocanada.ca/wp-content/uploads/89_Edp-5-250x165.png
Bryan Adams: So Happy It Hurts Tour,https://www.todocanada.ca/city/vancouver/event/bryan-adams-so-happy-it-hurts-tour-5/,Rogers Arena 800 Griffiths Way Vancouver,Price: $20 - $145+fees,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/imported-258066-250x165.jpg
Offaiah,https://www.todocanada.ca/city/vancouver/event/offaiah/,Celebrities 1022 Davie Street Vancouver,Price: Free,November 12 2022 ,https://www.todocanada.ca/wp-content/uploads/59_Edp-1-3-250x165.png
